id,bi_sponsor_bi,bi_sponsor_count,cosponsor_count,cosponsor_normalized,cosponsor_rank,dw_nominate,missed_votes_pct,name,party,seniority,sponsor_count,sponsor_normalized,sponsor_rank,state,top_cosponsor_subjects,top_cosponsor_subjects_1_text,top_cosponsor_subjects_1_count,top_cosponsor_subjects_2_text,top_cosponsor_subjects_2_count,top_cosponsor_subjects_3_text,top_cosponsor_subjects_3_count,top_cosponsor_subjects_4_text,top_cosponsor_subjects_4_count,top_cosponsor_subjects_5_text,top_cosponsor_subjects_5_count,top_sponsor_subjects,top_sponsor_subjects_1_text,top_sponsor_subjects_1_count,top_sponsor_subjects_2_text,top_sponsor_subjects_2_count,top_sponsor_subjects_3_text,top_sponsor_subjects_3_count,top_sponsor_subjects_4_text,top_sponsor_subjects_4_count,top_sponsor_subjects_5_text,top_sponsor_subjects_5_count,total_votes,votes_with_party_pct,color,size,bi_pct,chamber,congress
C001053,3,18,231,0.429730983,238,0.338,2.6,Tom Cole,R,16,18,0.372222222,69,OK,"[(Health, 29), (Armed forces and national security, 25), (Taxation, 22), (Government operations and politics, 16), (Crime and law enforcement, 15)]",Health,29,Armed forces and national security,25,Taxation,22,Government operations and politics,16,Crime and law enforcement,15,"[(Congress, 7), (Native Americans, 4), (Government operations and politics, 1), (Economics and public finance, 1), (Taxation, 1)]",Congress,7,Native Americans,4,Government operations and politics,1,Economics and public finance,1,Taxation,1,654,94.03,red,20,0.166666667,house,115
G000581,2,2,192,0.733516894,86,,2.45,Vicente Gonzalez,D,2,2,0.230769231,95,TX,"[(Armed forces and national security, 21), (Taxation, 20), (Finance and financial sector, 17), (Immigration, 16), (Health, 14)]",Armed forces and national security,21,Taxation,20,Finance and financial sector,17,Immigration,16,Health,14,"[(Finance and financial sector, 1), (Immigration, 1)]",Finance and financial sector,1,Immigration,1,,,,,,,654,90.6,blue,20,1,house,115
G000580,4,11,160,0.498995536,184,,17.28,Thomas Garrett,R,2,11,0.254545455,164,VA,"[(International affairs, 33), (Health, 18), (Armed forces and national security, 13), (Crime and law enforcement, 12), (Taxation, 11)]",International affairs,33,Health,18,Armed forces and national security,13,Crime and law enforcement,12,Taxation,11,"[(Government operations and politics, 4), (Crime and law enforcement, 2), (Civil rights and liberties, minority issues, 2), (Social welfare, 1), (Congress, 1)]",Government operations and politics,4,Crime and law enforcement,2,"Civil rights and liberties, minority issues",2,Social welfare,1,Congress,1,654,94.45,red,20,0.363636364,house,115
G000583,7,8,155,0.968703207,5,,0.31,Josh Gottheimer,D,2,8,0.230769231,95,NJ,"[(Finance and financial sector, 22), (International affairs, 22), (Health, 15), (Armed forces and national security, 14), (Government operations and politics, 13)]",Finance and financial sector,22,International affairs,22,Health,15,Armed forces and national security,14,Government operations and politics,13,"[(International affairs, 3), (Finance and financial sector, 2), (Taxation, 2), (Environmental protection, 1)]",International affairs,3,Finance and financial sector,2,Taxation,2,Environmental protection,1,,,654,84.82,blue,20,0.875,house,115
G000582,11,12,94,0.587765957,65,,NA,Jenniffer González-Colón,R,2,12,0.2,207,PR,"[(Armed forces and national security, 36), (Health, 11), (International affairs, 8), (Commerce, 7), (Finance and financial sector, 5)]",Armed forces and national security,36,Health,11,International affairs,8,Commerce,7,Finance and financial sector,5,"[(Taxation, 4), (Health, 4), (Government operations and politics, 1), (Social welfare, 1), (Transportation and public works, 1)]",Taxation,4,Health,4,Government operations and politics,1,Social welfare,1,Transportation and public works,1,,NA,red,20,0.916666667,house,115
R000435,13,16,162,0.480654762,209,0.245,17.43,Ileana Ros-Lehtinen,R,30,16,0.325,87,FL,"[(International affairs, 40), (Health, 28), (Armed forces and national security, 10), (Immigration, 10), (Taxation, 8)]",International affairs,40,Health,28,Armed forces and national security,10,Immigration,10,Taxation,8,"[(International affairs, 12), (Government operations and politics, 1), (Crime and law enforcement, 1), (Education, 1), (Arts, culture, religion, 1)]",International affairs,12,Government operations and politics,1,Crime and law enforcement,1,Education,1,"Arts, culture, religion",1,654,85.37,red,20,0.8125,house,115
G000566,0,0,58,0.573121921,76,0.668,1.22,Trey Gowdy,R,8,0,0,243,SC,"[(Crime and law enforcement, 9), (Health, 7), (Government operations and politics, 5), (Immigration, 5), (International affairs, 5)]",Crime and law enforcement,9,Health,7,Government operations and politics,5,Immigration,5,International affairs,5,[],,,,,,,,,,,654,98.3,red,20,,house,115
G000565,7,14,237,0.507233273,179,0.601,5.05,Paul Gosar,R,8,14,0.285714286,122,AZ,"[(Public lands and natural resources, 25), (Environmental protection, 25), (Taxation, 20), (Health, 20), (Immigration, 19)]",Public lands and natural resources,25,Environmental protection,25,Taxation,20,Health,20,Immigration,19,"[(Public lands and natural resources, 5), (Government operations and politics, 2), (Health, 2), (Water resources development, 1), (Energy, 1)]",Public lands and natural resources,5,Government operations and politics,2,Health,2,Water resources development,1,Energy,1,654,93.56,red,20,0.5,house,115
G000563,0,6,135,0.493584656,193,0.449,0.46,Bob Gibbs,R,8,6,0.3,101,OH,"[(Health, 21), (Taxation, 15), (Armed forces and national security, 13), (Crime and law enforcement, 12), (International affairs, 11)]",Health,21,Taxation,15,Armed forces and national security,13,Crime and law enforcement,12,International affairs,11,"[(Environmental protection, 4), (Labor and employment, 1), (Water resources development, 1)]",Environmental protection,4,Labor and employment,1,Water resources development,1,,,,,654,95.24,red,20,0,house,115
G000560,2,4,95,0.51287594,168,0.755,0.46,Tom Graves,R,10,4,0.4,51,GA,"[(Health, 23), (Taxation, 10), (Armed forces and national security, 7), (Crime and law enforcement, 7), (Immigration, 6)]",Health,23,Taxation,10,Armed forces and national security,7,Crime and law enforcement,7,Immigration,6,"[(Crime and law enforcement, 1), (Finance and financial sector, 1), (Economics and public finance, 1), (International affairs, 1)]",Crime and law enforcement,1,Finance and financial sector,1,Economics and public finance,1,International affairs,1,,,654,94.16,red,20,0.5,house,115
C000059,4,13,115,0.645419255,27,0.346,0.92,Ken Calvert,R,26,13,0.292307692,118,CA,"[(Taxation, 15), (Armed forces and national security, 13), (Health, 12), (Government operations and politics, 12), (Crime and law enforcement, 8)]",Taxation,15,Armed forces and national security,13,Health,12,Government operations and politics,12,Crime and law enforcement,8,"[(Government operations and politics, 2), (Crime and law enforcement, 2), (Armed forces and national security, 2), (Environmental protection, 2), (Immigration, 1)]",Government operations and politics,2,Crime and law enforcement,2,Armed forces and national security,2,Environmental protection,2,Immigration,1,654,96.76,red,20,0.307692308,house,115
G000568,4,24,112,0.552933673,101,0.534,1.68,Morgan Griffith,R,8,24,0.258333333,162,VA,"[(Health, 37), (Government operations and politics, 11), (Taxation, 8), (Economics and public finance, 7), (Environmental protection, 7)]",Health,37,Government operations and politics,11,Taxation,8,Economics and public finance,7,Environmental protection,7,"[(Health, 11), (Energy, 5), (Environmental protection, 2), (Commerce, 1), (Crime and law enforcement, 1)]",Health,11,Energy,5,Environmental protection,2,Commerce,1,Crime and law enforcement,1,654,93.62,red,20,0.166666667,house,115
C000754,1,4,120,0.787905922,42,-0.162,0.61,Jim Cooper,D,16,4,0.230769231,95,TN,"[(Government operations and politics, 29), (Health, 16), (Armed forces and national security, 11), (Congress, 11), (Finance and financial sector, 6)]",Government operations and politics,29,Health,16,Armed forces and national security,11,Congress,11,Finance and financial sector,6,"[(Congress, 4)]",Congress,4,,,,,,,,,654,88.46,blue,20,0.25,house,115
L000573,1,8,89,0.596910112,59,0.724,9.17,Raúl Labrador,R,8,8,0.275,139,ID,"[(Crime and law enforcement, 13), (Public lands and natural resources, 9), (Health, 9), (Government operations and politics, 6), (Taxation, 6)]",Crime and law enforcement,13,Public lands and natural resources,9,Health,9,Government operations and politics,6,Taxation,6,"[(Immigration, 2), (Government operations and politics, 1), (Congress, 1), (Armed forces and national security, 1), (Labor and employment, 1)]",Immigration,2,Government operations and politics,1,Congress,1,Armed forces and national security,1,Labor and employment,1,654,95.12,red,20,0.125,house,115
J000295,3,4,167,0.529886655,138,0.257,1.68,Dave Joyce,R,6,4,0.2,207,OH,"[(Health, 38), (Taxation, 22), (Armed forces and national security, 18), (Crime and law enforcement, 14), (International affairs, 12)]",Health,38,Taxation,22,Armed forces and national security,18,Crime and law enforcement,14,International affairs,12,"[(Health, 2), (Armed forces and national security, 1), (Transportation and public works, 1)]",Health,2,Armed forces and national security,1,Transportation and public works,1,,,,,654,90.51,red,20,0.75,house,115
L000570,3,24,167,0.660801606,180,-0.374,0.31,Ben Luján,D,10,24,0.230769231,95,NM,"[(Health, 36), (Armed forces and national security, 15), (Government operations and politics, 14), (Education, 13), (Public lands and natural resources, 9)]",Health,36,Armed forces and national security,15,Government operations and politics,14,Education,13,Public lands and natural resources,9,"[(Health, 7), (Science, technology, communications, 4), (Native Americans, 3), (None, 3), (Commerce, 1)]",Health,7,"Science, technology, communications",4,Native Americans,3,None,3,Commerce,1,654,96.17,blue,20,0.125,house,115
J000290,17,20,202,0.495933522,189,0.526,4.13,Lynn Jenkins,R,10,20,0.23,189,KS,"[(Health, 49), (Taxation, 35), (Armed forces and national security, 19), (Crime and law enforcement, 13), (Labor and employment, 10)]",Health,49,Taxation,35,Armed forces and national security,19,Crime and law enforcement,13,Labor and employment,10,"[(Health, 12), (Taxation, 4), (Government operations and politics, 1), (Congress, 1), (Public lands and natural resources, 1)]",Health,12,Taxation,4,Government operations and politics,1,Congress,1,Public lands and natural resources,1,654,93.78,red,20,0.85,house,115
L000576,3,7,118,0.473365617,215,0.569,13.15,Billy Long,R,8,7,0.2,207,MO,"[(Health, 30), (Taxation, 21), (Crime and law enforcement, 9), (Environmental protection, 9), (Labor and employment, 6)]",Health,30,Taxation,21,Crime and law enforcement,9,Environmental protection,9,Labor and employment,6,"[(Health, 5), (Government operations and politics, 1), (Transportation and public works, 1)]",Health,5,Government operations and politics,1,Transportation and public works,1,,,,,654,96.65,red,20,0.428571429,house,115
J000292,3,7,159,0.478268194,210,0.437,1.07,Bill Johnson,R,8,7,0.457142857,34,OH,"[(Health, 40), (Taxation, 17), (Crime and law enforcement, 17), (Armed forces and national security, 11), (International affairs, 9)]",Health,40,Taxation,17,Crime and law enforcement,17,Armed forces and national security,11,International affairs,9,"[(Health, 3), (Environmental protection, 2), (Science, technology, communications, 1), (Energy, 1)]",Health,3,Environmental protection,2,"Science, technology, communications",1,Energy,1,,,654,93.35,red,20,0.428571429,house,115
S000480,1,10,388,0.682310283,149,-0.464,14.22,Louise Slaughter,D,32,10,0.230769231,95,NY,"[(Health, 45), (Government operations and politics, 44), (Armed forces and national security, 29), (Education, 28), (International affairs, 27)]",Health,45,Government operations and politics,44,Armed forces and national security,29,Education,28,International affairs,27,"[(Government operations and politics, 2), (Crime and law enforcement, 1), (Education, 1), (Finance and financial sector, 1), (Foreign trade and international finance, 1)]",Government operations and politics,2,Crime and law enforcement,1,Education,1,Finance and financial sector,1,Foreign trade and international finance,1,654,95.9,blue,20,0.1,house,115
L000579,1,10,362,0.677519828,159,-0.441,3.98,Alan Lowenthal,D,6,10,0.230769231,95,CA,"[(Health, 42), (Government operations and politics, 34), (International affairs, 31), (Armed forces and national security, 27), (Public lands and natural resources, 24)]",Health,42,Government operations and politics,34,International affairs,31,Armed forces and national security,27,Public lands and natural resources,24,"[(Public lands and natural resources, 3), (Energy, 2), (Crime and law enforcement, 1), (Congress, 1), (Transportation and public works, 1)]",Public lands and natural resources,3,Energy,2,Crime and law enforcement,1,Congress,1,Transportation and public works,1,654,95.22,blue,20,0.1,house,115
L000578,5,11,224,0.525151467,152,0.563,2.91,Doug LaMalfa,R,6,11,0.363636364,72,CA,"[(Armed forces and national security, 25), (Taxation, 20), (Government operations and politics, 18), (International affairs, 18), (Public lands and natural resources, 18)]",Armed forces and national security,25,Taxation,20,Government operations and politics,18,International affairs,18,Public lands and natural resources,18,"[(Public lands and natural resources, 3), (Native Americans, 2), (Government operations and politics, 1), (Finance and financial sector, 1), (Water resources development, 1)]",Public lands and natural resources,3,Native Americans,2,Government operations and politics,1,Finance and financial sector,1,Water resources development,1,654,96.69,red,20,0.454545455,house,115
J000298,0,11,358,0.652766884,186,,1.83,Pramila Jayapal,D,2,11,0.251748252,82,WA,"[(Health, 43), (Government operations and politics, 42), (Crime and law enforcement, 40), (Armed forces and national security, 25), (Immigration, 24)]",Health,43,Government operations and politics,42,Crime and law enforcement,40,Armed forces and national security,25,Immigration,24,"[(Crime and law enforcement, 3), (Environmental protection, 2), (Congress, 1), (Immigration, 1), (Transportation and public works, 1)]",Crime and law enforcement,3,Environmental protection,2,Congress,1,Immigration,1,Transportation and public works,1,654,94.24,blue,20,0,house,115
J000299,0,8,78,0.461195055,226,,1.22,Mike Johnson,R,2,8,0.35,76,LA,"[(Health, 11), (Taxation, 8), (Crime and law enforcement, 7), (Public lands and natural resources, 5), (Congress, 4)]",Health,11,Taxation,8,Crime and law enforcement,7,Public lands and natural resources,5,Congress,4,"[(Crime and law enforcement, 2), (Public lands and natural resources, 2), (Government operations and politics, 2), (Animals, 1), (Energy, 1)]",Crime and law enforcement,2,Public lands and natural resources,2,Government operations and politics,2,Animals,1,Energy,1,654,97.52,red,20,0,house,115
D000604,4,8,101,0.638702263,31,0.242,1.99,Charlie Dent,R,14,8,0.225,195,PA,"[(Health, 18), (Taxation, 11), (Crime and law enforcement, 8), (International affairs, 8), (Armed forces and national security, 7)]",Health,18,Taxation,11,Crime and law enforcement,8,International affairs,8,Armed forces and national security,7,"[(Health, 3), (Crime and law enforcement, 1), (Armed forces and national security, 1), (International affairs, 1), (Foreign trade and international finance, 1)]",Health,3,Crime and law enforcement,1,Armed forces and national security,1,International affairs,1,Foreign trade and international finance,1,654,91.11,red,20,0.5,house,115
D000600,0,4,83,0.446213425,234,0.278,12.54,Mario Diaz-Balart,R,16,4,0.25,168,FL,"[(International affairs, 21), (Taxation, 11), (Health, 8), (Government operations and politics, 5), (Crime and law enforcement, 4)]",International affairs,21,Taxation,11,Health,8,Government operations and politics,5,Crime and law enforcement,4,"[(Government operations and politics, 1), (Economics and public finance, 1), (Public lands and natural resources, 1), (International affairs, 1)]",Government operations and politics,1,Economics and public finance,1,Public lands and natural resources,1,International affairs,1,,,654,92.48,red,20,0,house,115
D000216,3,27,250,0.65591404,182,-0.418,9.02,Rosa DeLauro,D,28,27,0.230769231,95,CT,"[(Health, 51), (Government operations and politics, 24), (Armed forces and national security, 20), (Taxation, 19), (Crime and law enforcement, 17)]",Health,51,Government operations and politics,24,Armed forces and national security,20,Taxation,19,Crime and law enforcement,17,"[(Health, 8), (Labor and employment, 7), (Government operations and politics, 4), (Crime and law enforcement, 1), (Foreign trade and international finance, 1)]",Health,8,Labor and employment,7,Government operations and politics,4,Crime and law enforcement,1,Foreign trade and international finance,1,654,95.63,blue,20,0.111111111,house,115
K000210,13,16,251,0.520062607,159,0.261,2.75,Peter King,R,26,16,0.2375,180,NY,"[(Health, 49), (Armed forces and national security, 35), (Taxation, 19), (International affairs, 18), (Finance and financial sector, 16)]",Health,49,Armed forces and national security,35,Taxation,19,International affairs,18,Finance and financial sector,16,"[(Crime and law enforcement, 3), (Armed forces and national security, 3), (Government operations and politics, 2), (Taxation, 2), (Emergency management, 1)]",Crime and law enforcement,3,Armed forces and national security,3,Government operations and politics,2,Taxation,2,Emergency management,1,654,91.2,red,20,0.8125,house,115
L000491,1,3,91,0.537087912,129,0.362,0.92,Frank Lucas,R,26,3,1,1,OK,"[(Finance and financial sector, 16), (Health, 13), (Taxation, 8), (Environmental protection, 8), (Crime and law enforcement, 6)]",Finance and financial sector,16,Health,13,Taxation,8,Environmental protection,8,Crime and law enforcement,6,"[(Finance and financial sector, 1), (Science, technology, communications, 1), (Environmental protection, 1)]",Finance and financial sector,1,"Science, technology, communications",1,Environmental protection,1,,,,,654,95.99,red,20,0.333333333,house,115
J000032,0,47,439,0.716838217,98,-0.456,3.36,Sheila Jackson Lee,D,24,47,0.265139116,74,TX,"[(Government operations and politics, 49), (Crime and law enforcement, 45), (Armed forces and national security, 38), (Health, 37), (International affairs, 36)]",Government operations and politics,49,Crime and law enforcement,45,Armed forces and national security,38,Health,37,International affairs,36,"[(Crime and law enforcement, 18), (Emergency management, 11), (Armed forces and national security, 3), (Government operations and politics, 2), (Education, 2)]",Crime and law enforcement,18,Emergency management,11,Armed forces and national security,3,Government operations and politics,2,Education,2,654,93.99,blue,20,0,house,115
H000874,1,4,55,0.903151862,6,-0.378,3.21,Steny Hoyer,D,38,4,0.894230769,3,MD,"[(Government operations and politics, 9), (International affairs, 6), (Crime and law enforcement, 4), (Congress, 4), (Taxation, 4)]",Government operations and politics,9,International affairs,6,Crime and law enforcement,4,Congress,4,Taxation,4,"[(Government operations and politics, 1), (Transportation and public works, 1), (Congress, 1), (International affairs, 1)]",Government operations and politics,1,Transportation and public works,1,Congress,1,International affairs,1,,,654,96.05,blue,20,0.25,house,115
S000364,1,3,99,0.582611833,69,0.374,1.22,John Shimkus,R,22,3,0.266666667,147,IL,"[(Health, 17), (Taxation, 13), (International affairs, 12), (Government operations and politics, 9), (Crime and law enforcement, 8)]",Health,17,Taxation,13,International affairs,12,Government operations and politics,9,Crime and law enforcement,8,"[(Health, 2), (Energy, 1)]",Health,2,Energy,1,,,,,,,654,95.51,red,20,0.333333333,house,115
B000755,4,10,64,0.621372768,40,0.52,3.21,Kevin Brady,R,22,10,0.7,6,TX,"[(Armed forces and national security, 9), (Crime and law enforcement, 9), (Government operations and politics, 7), (Health, 5), (Finance and financial sector, 4)]",Armed forces and national security,9,Crime and law enforcement,9,Government operations and politics,7,Health,5,Finance and financial sector,4,"[(Health, 3), (Taxation, 2), (None, 2), (Congress, 1), (International affairs, 1)]",Health,3,Taxation,2,None,2,Congress,1,International affairs,1,654,98.1,red,20,0.4,house,115
E000215,1,3,288,0.710487305,108,-0.383,0.92,Anna Eshoo,D,26,3,0.461538462,15,CA,"[(Health, 55), (Government operations and politics, 29), (International affairs, 20), (Armed forces and national security, 19), (Taxation, 17)]",Health,55,Government operations and politics,29,International affairs,20,Armed forces and national security,19,Taxation,17,"[(Government operations and politics, 1), (Energy, 1), (Science, technology, communications, 1)]",Government operations and politics,1,Energy,1,"Science, technology, communications",1,,,,,654,95.37,blue,20,0.333333333,house,115
G000410,3,10,201,0.821430099,25,-0.321,1.53,Gene Green,D,26,10,0.230769231,95,TX,"[(Government operations and politics, 30), (Health, 23), (International affairs, 16), (Taxation, 13), (Labor and employment, 13)]",Government operations and politics,30,Health,23,International affairs,16,Taxation,13,Labor and employment,13,"[(Health, 3), (Labor and employment, 2), (Government operations and politics, 1), (Sports and recreation, 1), (Transportation and public works, 1)]",Health,3,Labor and employment,2,Government operations and politics,1,Sports and recreation,1,Transportation and public works,1,654,89.91,blue,20,0.3,house,115
C000537,0,3,70,0.741874744,76,-0.464,11.93,James Clyburn,D,26,3,0.461538462,15,SC,"[(Government operations and politics, 13), (Immigration, 9), (Health, 9), (Civil rights and liberties, minority issues, 5), (Crime and law enforcement, 4)]",Government operations and politics,13,Immigration,9,Health,9,"Civil rights and liberties, minority issues",5,Crime and law enforcement,4,"[(Health, 1), (Crime and law enforcement, 1), (Public lands and natural resources, 1)]",Health,1,Crime and law enforcement,1,Public lands and natural resources,1,,,,,654,94.62,blue,20,0,house,115
C001094,8,12,187,0.532467532,135,0.409,0.15,Paul Cook,R,6,12,0.466666667,30,CA,"[(International affairs, 33), (Armed forces and national security, 25), (Health, 19), (Government operations and politics, 13), (Taxation, 13)]",International affairs,33,Armed forces and national security,25,Health,19,Government operations and politics,13,Taxation,13,"[(Public lands and natural resources, 5), (Crime and law enforcement, 2), (Energy, 1), (Economics and public finance, 1), (International affairs, 1)]",Public lands and natural resources,5,Crime and law enforcement,2,Energy,1,Economics and public finance,1,International affairs,1,654,94.33,red,20,0.666666667,house,115
C001096,5,14,234,0.498168498,185,0.377,1.68,Kevin Cramer,R,6,14,0.3,101,ND,"[(Health, 44), (Armed forces and national security, 25), (Environmental protection, 25), (Taxation, 18), (Immigration, 15)]",Health,44,Armed forces and national security,25,Environmental protection,25,Taxation,18,Immigration,15,"[(Public lands and natural resources, 4), (Taxation, 2), (Health, 2), (Transportation and public works, 1), (International affairs, 1)]",Public lands and natural resources,4,Taxation,2,Health,2,Transportation and public works,1,International affairs,1,654,96.73,red,20,0.357142857,house,115
C001097,5,22,273,0.75779569,62,-0.366,1.38,Tony Cárdenas,D,6,22,0.230769231,95,CA,"[(Health, 36), (Government operations and politics, 28), (Crime and law enforcement, 24), (Immigration, 19), (International affairs, 17)]",Health,36,Government operations and politics,28,Crime and law enforcement,24,Immigration,19,International affairs,17,"[(Crime and law enforcement, 6), (Health, 3), (Education, 3), (Transportation and public works, 2), (Civil rights and liberties, minority issues, 2)]",Crime and law enforcement,6,Health,3,Education,3,Transportation and public works,2,"Civil rights and liberties, minority issues",2,654,94.73,blue,20,0.227272727,house,115
C001090,9,36,282,0.734611555,85,-0.405,0.31,Matt Cartwright,D,6,36,0.275641026,65,PA,"[(Health, 30), (Government operations and politics, 27), (International affairs, 26), (Taxation, 25), (Armed forces and national security, 23)]",Health,30,Government operations and politics,27,International affairs,26,Taxation,25,Armed forces and national security,23,"[(Government operations and politics, 6), (Environmental protection, 4), (Armed forces and national security, 4), (Taxation, 3), (Health, 3)]",Government operations and politics,6,Environmental protection,4,Armed forces and national security,4,Taxation,3,Health,3,654,94.63,blue,20,0.25,house,115
C001091,4,8,112,0.816465411,28,-0.398,0.92,Joaquín Castro,D,6,8,0.274038462,67,TX,"[(Government operations and politics, 18), (International affairs, 18), (Immigration, 13), (Armed forces and national security, 13), (Education, 8)]",Government operations and politics,18,International affairs,18,Immigration,13,Armed forces and national security,13,Education,8,"[(International affairs, 2), (Crime and law enforcement, 1), (Armed forces and national security, 1), (Immigration, 1), (Education, 1)]",International affairs,2,Crime and law enforcement,1,Armed forces and national security,1,Immigration,1,Education,1,654,94.75,blue,20,0.5,house,115
C001092,4,13,160,0.448716518,233,0.369,5.66,Chris Collins,R,6,13,0.246153846,171,NY,"[(Health, 37), (Taxation, 17), (Crime and law enforcement, 16), (Armed forces and national security, 13), (Government operations and politics, 8)]",Health,37,Taxation,17,Crime and law enforcement,16,Armed forces and national security,13,Government operations and politics,8,"[(Health, 7), (Taxation, 2), (Finance and financial sector, 1), (Crime and law enforcement, 1), (Education, 1)]",Health,7,Taxation,2,Finance and financial sector,1,Crime and law enforcement,1,Education,1,654,96.27,red,20,0.307692308,house,115
C001093,6,30,101,0.622171146,39,0.654,2.29,Doug Collins,R,6,30,0.44,40,GA,"[(Health, 19), (Crime and law enforcement, 14), (Taxation, 13), (Armed forces and national security, 7), (Government operations and politics, 6)]",Health,19,Crime and law enforcement,14,Taxation,13,Armed forces and national security,7,Government operations and politics,6,"[(Congress, 16), (Government operations and politics, 3), (Taxation, 3), (Crime and law enforcement, 2), (Armed forces and national security, 2)]",Congress,16,Government operations and politics,3,Taxation,3,Crime and law enforcement,2,Armed forces and national security,2,654,94.68,red,20,0.2,house,115
S000244,13,26,164,0.474793118,214,0.646,0.15,F. Sensenbrenner,R,40,26,0.292307692,118,WI,"[(Health, 39), (International affairs, 22), (Taxation, 17), (Crime and law enforcement, 16), (Armed forces and national security, 8)]",Health,39,International affairs,22,Taxation,17,Crime and law enforcement,16,Armed forces and national security,8,"[(Crime and law enforcement, 7), (Health, 3), (Taxation, 3), (Government operations and politics, 2), (Immigration, 2)]",Crime and law enforcement,7,Health,3,Taxation,3,Government operations and politics,2,Immigration,2,654,95.56,red,20,0.5,house,115
S000248,0,20,305,0.677363897,160,-0.488,0.15,José Serrano,D,30,20,0.230769231,95,NY,"[(Health, 37), (Government operations and politics, 35), (Immigration, 31), (Crime and law enforcement, 29), (International affairs, 22)]",Health,37,Government operations and politics,35,Immigration,31,Crime and law enforcement,29,International affairs,22,"[(Taxation, 5), (International affairs, 3), (Agriculture and food, 2), (Housing and community development, 2), (Emergency management, 1)]",Taxation,5,International affairs,3,Agriculture and food,2,Housing and community development,2,Emergency management,1,654,95.25,blue,20,0,house,115
E000179,10,24,300,0.765797517,58,-0.407,5.05,Eliot Engel,D,30,24,0.302884615,46,NY,"[(International affairs, 70), (Health, 52), (Government operations and politics, 29), (Armed forces and national security, 19), (Crime and law enforcement, 17)]",International affairs,70,Health,52,Government operations and politics,29,Armed forces and national security,19,Crime and law enforcement,17,"[(International affairs, 12), (Health, 4), (Transportation and public works, 3), (Government operations and politics, 1), (Crime and law enforcement, 1)]",International affairs,12,Health,4,Transportation and public works,3,Government operations and politics,1,Crime and law enforcement,1,654,94.85,blue,20,0.416666667,house,115
R000570,2,2,2,0.910714286,2,0.556,98.17,Paul Ryan,R,20,2,0.65,7,WI,"[(Taxation, 1), (Congress, 1)]",Taxation,1,Congress,1,,,,,,,"[(Government operations and politics, 1), (International affairs, 1)]",Government operations and politics,1,International affairs,1,,,,,,,654,75,red,20,1,house,115
R000575,1,5,86,0.591258306,64,0.335,2.14,Mike Rogers,R,18,5,0.32,91,AL,"[(Health, 17), (Taxation, 14), (Crime and law enforcement, 9), (Armed forces and national security, 7), (Labor and employment, 6)]",Health,17,Taxation,14,Crime and law enforcement,9,Armed forces and national security,7,Labor and employment,6,"[(International affairs, 3), (Agriculture and food, 1), (Emergency management, 1)]",International affairs,3,Agriculture and food,1,Emergency management,1,,,,,654,94.06,red,20,0.2,house,115
R000577,6,22,431,0.701330949,123,-0.4,9.63,Tim Ryan,D,16,22,0.230769231,95,OH,"[(Armed forces and national security, 76), (Health, 73), (Taxation, 39), (Government operations and politics, 28), (Labor and employment, 27)]",Armed forces and national security,76,Health,73,Taxation,39,Government operations and politics,28,Labor and employment,27,"[(Health, 5), (Armed forces and national security, 3), (Education, 3), (Government operations and politics, 2), (Commerce, 2)]",Health,5,Armed forces and national security,3,Education,3,Government operations and politics,2,Commerce,2,654,95.09,blue,20,0.272727273,house,115
R000576,1,5,177,0.766977482,56,-0.3,1.38,C.A. Dutch Ruppersberger,D,16,5,0.230769231,95,MD,"[(Health, 37), (Government operations and politics, 23), (Armed forces and national security, 21), (Taxation, 12), (International affairs, 12)]",Health,37,Government operations and politics,23,Armed forces and national security,21,Taxation,12,International affairs,12,"[(Taxation, 2), (Energy, 1), (Public lands and natural resources, 1), (Armed forces and national security, 1)]",Taxation,2,Energy,1,Public lands and natural resources,1,Armed forces and national security,1,,,654,93.8,blue,20,0.2,house,115
R000578,15,16,96,0.498046875,186,0.221,2.45,Dave Reichert,R,14,16,0.35,76,WA,"[(Taxation, 18), (Health, 13), (Crime and law enforcement, 8), (Immigration, 7), (Congress, 6)]",Taxation,18,Health,13,Crime and law enforcement,8,Immigration,7,Congress,6,"[(Taxation, 6), (Social welfare, 2), (Crime and law enforcement, 1), (Immigration, 1), (Transportation and public works, 1)]",Taxation,6,Social welfare,2,Crime and law enforcement,1,Immigration,1,Transportation and public works,1,654,88.56,red,20,0.9375,house,115
C000714,3,25,396,0.654271946,184,-0.659,4.43,John Conyers,D,54,25,0.327692308,36,MI,"[(Health, 57), (Government operations and politics, 50), (Crime and law enforcement, 40), (International affairs, 34), (Armed forces and national security, 27)]",Health,57,Government operations and politics,50,Crime and law enforcement,40,International affairs,34,Armed forces and national security,27,"[(Crime and law enforcement, 5), (Finance and financial sector, 4), (Labor and employment, 2), (Health, 2), (Environmental protection, 2)]",Crime and law enforcement,5,Finance and financial sector,4,Labor and employment,2,Health,2,Environmental protection,2,654,94.4,blue,20,0.12,house,115
